,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
0,0,41,2,328,allocated,340.49706081332477,0,41,2,502,existing,430.17104634414886,0,36,2,246,allocated,725.5112531858049,0,24,2,191,allocated,925.966386516793,0,89,2,369,existing,1332.7211311777146,0,92,2,567,existing,1186.2638809850046,0,35,2,235,allocated,1402.5069438407527,0,91,2,233,existing,1389.0227756009033,0,90,2,452,existing,1383.2252175195345,0,94,2,125,existing,1394.6527438555656,0,93,2,41,existing,1501.9724130372645,0,95,2,315,existing,1667.9590007792858
1,1,41,3,328,allocated,193.71870492804936,1,41,3,502,existing,283.39269045887346,1,36,3,246,allocated,578.7328973005295,1,92,3,567,existing,1039.4855250997293,1,24,3,191,allocated,1056.5013756471649,1,89,3,369,existing,1185.9427752924394,1,90,3,452,existing,1236.4468616342592,1,35,3,235,allocated,1513.2955272756926,1,91,3,233,existing,1242.2444197156278,1,93,3,41,existing,1355.194057151989,1,95,3,315,existing,1808.216140377303,1,94,3,125,existing,1531.4162645451954
2,2,84,5,567,existing,253.43164379559488,2,84,5,159,existing,173.59358007690963,2,92,5,567,existing,253.43164379559488,2,91,5,233,existing,467.5237967804586,2,89,5,369,existing,520.0575148879288,2,90,5,452,existing,469.553428546109,2,36,5,246,allocated,815.1540240476975,2,93,5,41,existing,561.6351413135917,2,24,5,191,allocated,1009.093115031513,2,35,5,235,allocated,835.1692933415567,2,94,5,125,existing,1204.5191737215264,2,95,5,315,existing,1382.2581856431748
3,3,25,7,192,allocated,93.92803584769912,3,25,7,193,existing,530.700428705658,3,24,7,191,allocated,302.2282174155333,3,94,7,125,existing,770.9145747543059,3,95,7,315,existing,1044.2208316780261,3,35,7,235,allocated,778.7687747394932,3,92,7,567,existing,1196.3212538869266,3,91,7,233,existing,1381.384263164406,3,36,7,246,allocated,1348.4954478850204,3,93,7,41,existing,1090.1554858553513,3,89,7,369,existing,1436.373201865475,3,90,7,452,existing,1385.8691155236552
4,4,84,8,567,existing,170.54644039736993,4,84,8,159,existing,90.70837667868467,4,92,8,567,existing,170.54644039736993,4,91,8,233,existing,389.1433136779708,4,90,8,452,existing,390.65622955299193,4,89,8,369,existing,441.16031589481184,4,36,8,246,allocated,815.8832894763927,4,24,8,191,allocated,961.6787411458511,4,93,8,41,existing,514.2207674279298,4,35,8,235,allocated,787.7549194558949,4,95,8,315,existing,1334.843811757513,4,94,8,125,existing,1157.1047998358645
5,5,84,9,567,existing,299.5369525820719,5,84,9,62,existing,189.000845595439,5,92,9,567,existing,299.5369525820719,5,91,9,233,existing,518.1338258626728,5,90,9,452,existing,519.6467417376939,5,89,9,369,existing,570.1508280795138,5,35,9,235,allocated,916.7454316405968,5,93,9,41,existing,643.2112796126318,5,24,9,191,allocated,1090.6692533305531,5,36,9,246,allocated,731.3566580521527,5,95,9,315,existing,1463.8343239422152,5,94,9,125,existing,1286.0953120205666
6,6,82,10,315,existing,978.1358985729871,6,82,10,480,existing,595.0493474939353,6,95,10,315,existing,978.1358985729871,6,94,10,125,existing,1004.3941810665858,6,88,10,314,existing,1258.6632303456518,6,86,10,188,existing,1167.5345671506275,6,87,10,314,existing,1258.6632303456518,6,35,10,235,allocated,1276.1408527772699,6,24,10,191,allocated,1476.904144806719,6,93,10,41,existing,1834.1158523709273,6,92,10,567,existing,2132.822880292978,6,91,10,233,existing,2125.344629679982
7,7,82,11,315,existing,880.1840198167051,7,82,11,480,existing,667.492248263638,7,95,11,315,existing,880.1840198167051,7,94,11,125,existing,906.4423023103038,7,86,11,188,existing,1239.9774679203301,7,35,11,235,allocated,1178.1889740209879,7,24,11,191,allocated,1378.952266050437,7,88,11,314,existing,1331.1061311153544,7,87,11,314,existing,1331.1061311153544,7,93,11,41,existing,1736.1639736146453,7,91,11,233,existing,2027.3927509237,7,92,11,567,existing,2034.8710015366958
8,8,41,12,328,allocated,303.18088281638325,8,41,12,502,existing,365.22103236446264,8,36,12,246,allocated,656.7261226801996,8,92,12,567,existing,937.5283817456584,8,91,12,233,existing,1151.6205347305222,8,24,12,191,allocated,1131.9779316514914,8,35,12,235,allocated,1439.1102985999642,8,90,12,452,existing,1153.6501664961725,8,89,12,369,existing,1202.7635099925126,8,93,12,41,existing,1245.7318792636552,8,95,12,315,existing,1883.6926963816295,8,94,12,125,existing,1606.892820549522
9,9,41,13,328,allocated,210.711515870053,9,41,13,502,existing,272.7516654181324,9,36,13,246,allocated,564.2567557338695,9,92,13,567,existing,1023.1334562923465,9,24,13,191,allocated,1039.5085647051612,9,89,13,369,existing,1171.4666337257793,9,93,13,41,existing,1338.2012462099854,9,35,13,235,allocated,1496.302716333689,9,91,13,233,existing,1227.7682781489677,9,90,13,452,existing,1221.9707200675991,9,94,13,125,existing,1514.423453603192,9,95,13,315,existing,1791.2233294352995
