,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school
0,0,41,2,328,allocated,340.49706081332477,0,41,2,328,allocated,340.49706081332477,0,41,2,502,existing,430.17104634414886
1,1,41,3,328,allocated,193.71870492804936,1,41,3,328,allocated,193.71870492804936,1,41,3,502,existing,283.39269045887346
2,2,84,5,567,existing,253.43164379559488,2,84,5,567,existing,253.43164379559488,2,84,5,159,existing,173.59358007690963
3,3,24,7,191,allocated,302.2282174155333,3,24,7,192,allocated,93.92803584769912,3,24,7,194,allocated,319.5988089221674
4,4,84,8,567,existing,170.54644039736993,4,84,8,567,existing,170.54644039736993,4,84,8,159,existing,90.70837667868467
5,5,84,9,567,existing,299.5369525820719,5,84,9,567,existing,299.5369525820719,5,84,9,62,existing,189.000845595439
6,6,18,10,145,allocated,697.5720130533216,6,18,10,315,existing,978.1358985729871,6,18,10,480,existing,595.0493474939353
7,7,18,11,145,allocated,770.0149138230244,7,18,11,315,existing,880.1840198167051,7,18,11,480,existing,667.492248263638
8,8,41,12,328,allocated,303.18088281638325,8,41,12,328,allocated,303.18088281638325,8,41,12,502,existing,365.22103236446264
9,9,41,13,328,allocated,210.711515870053,9,41,13,328,allocated,210.711515870053,9,41,13,502,existing,272.7516654181324
10,10,46,14,366,allocated,222.09016323074417,10,46,14,76,allocated,274.3919179741619,10,46,14,15,allocated,137.69731051512142
11,11,46,15,366,allocated,359.78747374586555,11,46,15,76,allocated,136.69460745904047,11,46,15,15,allocated,0.0
12,12,46,16,366,allocated,319.2220041394102,12,46,16,220,allocated,421.16466649183474,12,46,16,116,existing,392.1039373275248
13,13,46,17,366,allocated,187.13400374531244,13,46,17,41,existing,446.71315524822245,13,46,17,116,existing,260.01593693342704
14,14,75,18,261,existing,286.83380032591594,14,75,18,76,allocated,681.2337436582673,14,75,18,15,allocated,814.0316157322741
15,15,75,19,261,existing,144.56400383681967,15,75,19,76,allocated,538.9639471691711,15,75,19,15,allocated,671.7618192431778
