,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
0,0,67,2,584,existing,554.629878698989,0,67,2,353,existing,668.9798975886247,0,67,2,584,allocated,554.629878698989,0,70,2,101,existing,840.4546881066937,0,72,2,12,existing,1470.3765544512485,0,69,2,331,existing,1494.3653934106064,0,74,2,308,existing,1488.3301537348011,0,73,2,498,existing,2005.3595643331466,0,71,2,164,existing,1551.5087878432382
1,1,55,4,570,existing,493.6301258043151,1,55,4,327,existing,730.6540047685332,1,55,4,443,allocated,376.5460413689646,1,71,4,164,existing,891.9139523877161,1,69,4,331,existing,912.4323791961256,1,74,4,308,existing,988.2112697033399,1,72,4,12,existing,971.5133276671282,1,73,4,498,existing,1505.2406803016852,1,70,4,101,existing,1470.276487132695
2,2,66,5,570,existing,524.5529320935628,2,66,5,327,existing,701.600473692277,2,66,5,443,allocated,407.4688476582123,2,69,5,331,existing,881.5095729068778,2,71,5,164,existing,922.8367586769639,2,74,5,308,existing,1019.1340759925877,2,72,5,12,existing,1002.436133956376,2,73,5,498,existing,1536.163486590933,2,70,5,101,existing,1501.1992934219427
3,3,68,11,642,existing,651.2902200781691,3,68,11,276,existing,548.3089256339244,3,68,11,340,allocated,635.156481548737,3,70,11,101,existing,968.4278483795615,3,69,11,331,existing,1537.4794397757512,3,72,11,12,existing,1587.166043002533,3,74,11,308,existing,1605.1196422860855,3,73,11,498,existing,2122.1490528844306,3,71,11,164,existing,1668.2982763945229
4,4,54,16,419,existing,426.8144316223465,4,54,16,568,existing,793.649314224442,4,54,16,308,allocated,351.7849460662956,4,71,16,164,existing,286.5682940553802,4,74,16,308,existing,351.7849460662956,4,72,16,12,existing,367.70052744737,4,73,16,498,existing,628.2326569992028,4,69,16,331,existing,1596.2115790681955,4,70,16,101,existing,1485.4429557221358
5,5,57,17,498,existing,508.23484586151517,5,57,17,568,existing,673.6515030867544,5,57,17,308,allocated,471.78275720398335,5,71,17,164,existing,406.5661051930679,5,74,17,308,existing,471.78275720398335,5,72,17,12,existing,487.69833858505774,5,73,17,498,existing,508.23484586151517,5,69,17,331,existing,1716.2093902058832,5,70,17,101,existing,1605.4407668598235
6,6,61,18,162,existing,555.0564046138884,6,61,18,568,existing,259.1874363556987,6,61,18,687,allocated,530.690310031273,6,71,18,164,existing,824.6713826298767,6,74,18,308,existing,889.8880346407921,6,73,18,498,existing,1182.4482407472772,6,72,18,12,existing,905.8036160218664,6,70,18,101,existing,1851.8096361725861,6,69,18,331,existing,1428.964689649739
7,7,61,19,162,existing,502.7759038358338,7,61,19,568,existing,206.9069355776441,7,61,19,687,allocated,478.40980925321844,7,71,19,164,existing,772.3908818518221,7,74,19,308,existing,837.6075338627375,7,73,19,498,existing,1130.1677399692226,7,72,19,12,existing,853.5231152438118,7,70,19,101,existing,1799.5291353945317,7,69,19,331,existing,1376.6841888716845
8,8,58,20,306,existing,707.6658373286302,8,58,20,529,existing,628.9463957738208,8,58,20,445,allocated,382.85797685660583,8,73,20,498,existing,1345.2011953986676,8,74,20,308,existing,1862.230605997013,8,71,20,164,existing,1961.3164386725555,8,72,20,12,existing,1880.1842052805657,8,69,20,331,existing,2789.012212168355,8,70,20,101,existing,2997.9266335553316
9,9,58,21,306,existing,826.608438167203,9,58,21,529,existing,747.8889966123936,9,58,21,445,allocated,501.8005776951786,9,73,21,498,existing,1464.1437962372404,9,74,21,308,existing,1981.173206835586,9,71,21,164,existing,2080.2590395111283,9,72,21,12,existing,1999.1268061191386,9,69,21,331,existing,2907.9548130069275,9,70,21,101,existing,3116.869234393904
10,10,63,22,184,existing,596.8933422035045,10,63,22,464,existing,318.33521452473667,10,63,22,464,allocated,318.33521452473667,10,69,22,331,existing,844.2693162634813,10,71,22,164,existing,1586.787359941622,10,72,22,12,existing,1667.9195933336118,10,74,22,308,existing,1683.0846772572459,10,73,22,498,existing,2200.114087855591,10,70,22,101,existing,2293.31004076605
11,11,59,23,314,existing,522.1780360226957,11,59,23,464,existing,520.3404538294992,11,59,23,328,allocated,474.79162821129347,11,69,23,331,existing,650.2481818133306,11,71,23,164,existing,1392.7662254914712,11,74,23,308,existing,1489.063542807095,11,72,23,12,existing,1473.898458883461,11,73,23,498,existing,2006.0929534054403,11,70,23,101,existing,2099.288906315899
12,12,52,24,382,existing,408.5365708892186,12,52,24,276,existing,586.3557069225644,12,52,24,382,allocated,408.5365708892186,12,70,24,101,existing,1525.9864121422183,12,69,24,331,existing,1603.0382291941396,12,74,24,308,existing,1670.678431704474,12,72,24,12,existing,1652.7248324209213,12,73,24,498,existing,2187.7078423028192,12,71,24,164,existing,1733.8570658129113
13,13,52,25,382,existing,280.0722579227483,13,52,25,276,existing,714.8200198890347,13,52,25,382,allocated,280.0722579227483,13,69,25,331,existing,1474.5739162276693,13,72,25,12,existing,1524.260519454451,13,71,25,164,existing,1605.392752846441,13,74,25,308,existing,1542.2141187380037,13,73,25,498,existing,2059.2435293363487,13,70,25,101,existing,1654.4507251086889
14,14,52,26,382,existing,458.80762570562376,14,52,26,276,existing,419.45488682224845,14,52,26,382,allocated,458.80762570562376,14,70,26,101,existing,1359.0855920419026,14,69,26,331,existing,1653.3092840105448,14,72,26,12,existing,1702.9958872373265,14,74,26,308,existing,1720.9494865208792,14,71,26,164,existing,1784.1281206293165,14,73,26,498,existing,2237.9788971192243
15,15,52,27,382,existing,463.68032146852664,15,52,27,276,existing,531.2119563432564,15,52,27,382,allocated,463.68032146852664,15,70,27,101,existing,1470.8426615629105,15,69,27,331,existing,1658.1819797734477,15,74,27,308,existing,1725.822182283782,15,72,27,12,existing,1707.8685830002294,15,71,27,164,existing,1789.0008163922193,15,73,27,498,existing,2242.851592882127
16,16,52,28,382,existing,620.5976191818534,16,52,28,276,existing,454.9562462039245,16,52,28,707,allocated,448.44692204609726,16,69,28,331,existing,1815.0992774867743,16,72,28,12,existing,1864.785880713556,16,74,28,308,existing,1882.7394799971087,16,70,28,101,existing,1870.4807163098806,16,71,28,164,existing,1945.918114105546,16,73,28,498,existing,2399.7688905954537
17,17,52,29,382,existing,494.8268112859156,17,52,29,276,existing,580.7270540998622,17,52,29,707,allocated,322.6761141501596,17,69,29,331,existing,1689.3284695908364,17,72,29,12,existing,1739.0150728176181,17,71,29,164,existing,1820.1473062096084,17,74,29,308,existing,1756.9686721011708,17,73,29,498,existing,2273.998082699516,17,70,29,101,existing,1882.131540692415
18,18,57,30,498,existing,339.2958129630879,18,57,30,529,existing,524.326663935743,18,57,30,544,allocated,227.18852772733806,18,73,30,498,existing,339.2958129630879,18,74,30,308,existing,856.3252235614332,18,72,30,12,existing,874.2788228449858,18,71,30,164,existing,955.4110562369756,18,69,30,331,existing,2236.978969360457,18,70,30,101,existing,1992.0212511197515
19,19,57,31,498,existing,255.78494942622223,19,57,31,529,existing,607.8375274726086,19,57,31,544,allocated,143.6776641904724,19,73,31,498,existing,255.78494942622223,19,74,31,308,existing,772.8143600245676,19,71,31,164,existing,871.90019270011,19,72,31,12,existing,790.7679593081202,19,69,31,331,existing,2153.4681058235915,19,70,31,101,existing,1908.5103875828859
20,20,60,32,365,existing,544.20308269933,20,60,32,327,existing,517.1997883842257,20,60,32,435,allocated,401.7264219792257,20,69,32,331,existing,854.0475411169275,20,71,32,164,existing,934.1126734478938,20,72,32,12,existing,1015.2449068398836,20,74,32,308,existing,1030.4099907635177,20,73,32,498,existing,1547.439401361863,20,70,32,101,existing,1561.123076203769
21,21,60,33,365,existing,622.6724094583806,21,60,33,327,existing,595.6691151432761,21,60,33,435,allocated,480.1957487382761,21,69,33,331,existing,775.5782143578772,21,71,33,164,existing,1012.5820002069443,21,72,33,12,existing,1093.714233598934,21,74,33,308,existing,1108.8793175225683,21,73,33,498,existing,1625.9087281209136,21,70,33,101,existing,1607.1306519709433
22,22,57,34,498,existing,179.24639126041194,22,57,34,568,existing,919.1337057368982,22,57,34,498,allocated,179.24639126041194,22,73,34,498,existing,179.24639126041194,22,74,34,308,existing,337.7830193379334,22,71,34,164,existing,436.8688520134759,22,72,34,12,existing,355.73661862148606,22,70,34,101,existing,1473.479046896252,22,69,34,331,existing,1718.4367651369575
23,23,57,35,498,existing,329.4556982395163,23,57,35,568,existing,768.9243987577938,23,57,35,498,allocated,329.4556982395163,23,73,35,498,existing,329.4556982395163,23,74,35,308,existing,487.99232631703774,23,72,35,12,existing,505.9459256005904,23,71,35,164,existing,585.3452528150667,23,69,35,331,existing,1860.3392060503272,23,70,35,101,existing,1623.6883538753564
24,24,59,36,314,existing,757.1651727230922,24,59,36,327,existing,774.4827383170386,24,59,36,328,allocated,540.528741537872,24,69,36,331,existing,689.6611098034107,24,71,36,164,existing,1293.3040035918646,24,72,36,12,existing,1374.4362369838543,24,74,36,308,existing,1389.6013209074883,24,70,36,101,existing,1887.8526553558636,24,73,36,498,existing,1906.6307315058336
25,25,59,37,314,existing,666.3598841037251,25,59,37,327,existing,683.6774496976717,25,59,37,328,allocated,449.72345291850496,25,69,37,331,existing,598.8558211840437,25,71,37,164,existing,1367.6980501986827,25,72,37,12,existing,1448.8302835906725,25,74,37,308,existing,1463.9953675143065,25,73,37,498,existing,1981.0247781126518,25,70,37,101,existing,1978.6579439752306
26,26,65,38,306,existing,511.8071268951591,26,65,38,529,existing,813.3780447753065,26,65,38,445,allocated,275.2641782418628,26,73,38,498,existing,996.35295009839,26,74,38,308,existing,1513.3823606967353,26,71,38,164,existing,1612.4681933722777,26,72,38,12,existing,1531.335959980288,26,70,38,101,existing,2649.078388255054,26,69,38,331,existing,2894.0361064957597
27,27,65,39,306,existing,441.825857028467,27,65,39,529,existing,743.3967749086144,27,65,39,445,allocated,205.28290837517068,27,73,39,498,existing,926.3716802316978,27,74,39,308,existing,1443.4010908300434,27,71,39,164,existing,1542.4869235055858,27,72,39,12,existing,1461.354690113596,27,69,39,331,existing,2824.0548366290673,27,70,39,101,existing,2579.0971183883617
