,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
0,0,70,0,320,allocated,335.24323403725333,0,70,0,248,allocated,535.1383322820807,0,70,0,320,allocated,335.24323403725333,0,58,0,271,allocated,686.7727649438441,0,33,0,150,allocated,843.1952882599885,0,49,0,234,allocated,1084.2478585575811,0,95,0,273,existing,1323.5583105368999,0,94,0,394,existing,1627.7902656813044,0,93,0,47,existing,1712.3313959764928
1,1,70,1,320,allocated,419.8785042640633,1,70,1,248,allocated,450.50306205527073,1,70,1,320,allocated,419.8785042640633,1,58,1,271,allocated,602.1374947170341,1,33,1,150,allocated,758.5600180331785,1,49,1,234,allocated,1023.8725851211368,1,95,1,273,existing,1238.9230403100898,1,94,1,394,existing,1712.4255359081144,1,93,1,47,existing,1627.6961257496828
2,2,44,3,215,allocated,401.01321433241,2,44,3,375,existing,361.36511552354403,2,44,3,42,allocated,141.34656623779367,2,33,3,150,allocated,379.66354301308314,2,58,3,271,allocated,536.0860663292275,2,49,3,234,allocated,1038.6576421735037,2,95,3,273,existing,771.8191295857703,2,93,3,47,existing,1884.5940704755385,2,94,3,394,existing,2160.871882536418
3,3,0,4,5,allocated,70.87294681792903,3,0,4,231,allocated,87.68121407229091,3,0,4,60,allocated,69.66062530625932,3,94,4,394,existing,610.8061061716555,3,95,4,273,existing,778.2466467789923,3,58,4,271,allocated,1557.5111446063142,3,49,4,234,allocated,843.5521591603557,3,33,4,150,allocated,1713.9336679224587,3,93,4,47,existing,2449.331385713229
4,4,0,5,5,allocated,0.0,4,0,5,231,allocated,16.80826725436188,4,0,5,5,allocated,0.0,4,94,5,394,existing,681.6790529895845,4,95,5,273,existing,707.3736999610633,4,58,5,271,allocated,1486.6381977883852,4,49,5,234,allocated,772.6792123424267,4,93,5,47,existing,2520.204332531158,4,33,5,150,allocated,1643.0607211045296
5,5,0,6,5,allocated,132.56911353206496,5,0,6,231,allocated,115.76084627770308,5,0,6,6,allocated,0.0,5,95,6,273,existing,574.8045864289983,5,49,6,234,allocated,668.1150672407942,5,94,6,394,existing,814.2481665216494,5,58,6,271,allocated,1354.0690842563204,5,33,6,150,allocated,1510.4916075724645,5,93,6,47,existing,2604.9707040891467
6,6,0,8,5,allocated,135.44262470752312,6,0,8,231,allocated,118.63435745316124,6,0,8,6,allocated,30.878479605890753,6,95,8,273,existing,605.6830660348891,6,49,8,234,allocated,637.2365876349036,6,94,8,394,existing,814.3478193423962,6,58,8,271,allocated,1384.9475638622112,6,93,8,47,existing,2574.092224483256,6,33,8,150,allocated,1541.3700871783553
7,7,0,9,5,allocated,225.6700307785605,7,0,9,231,allocated,208.86176352419858,7,0,9,20,allocated,99.77013935868223,7,49,9,234,allocated,547.0091815638662,7,95,9,273,existing,653.4990295434469,7,94,9,394,existing,904.5752254134336,7,58,9,271,allocated,1339.892688102306,7,33,9,150,allocated,1496.3152114184504,7,93,9,47,existing,2483.8648184122185
8,8,0,13,5,allocated,389.36015691330226,8,0,13,231,allocated,372.55188965894035,8,0,13,116,allocated,125.57922590492862,8,49,13,234,allocated,498.63911030670533,8,95,13,273,existing,572.6214429885744,8,94,13,394,existing,1071.0038617639111,8,58,13,271,allocated,1259.1429858234692,8,33,13,150,allocated,1415.5655091396134,8,93,13,47,existing,2422.6542986719155
9,9,70,14,320,allocated,404.7317834726291,9,70,14,219,existing,487.3614552561488,9,70,14,234,allocated,344.2728410476988,9,49,14,234,allocated,344.2728410476988,9,95,14,273,existing,633.4634681509439,9,58,14,271,allocated,1036.5667324821552,9,33,14,150,allocated,1192.9892557982994,9,93,14,47,existing,2087.486482061108,9,94,14,394,existing,1235.4751528583201
